pdb_id,run_name,run_date,structure_type,datasets,source_results_file,slurm_job_id,slurm_task_id,date_utc,conda_env,charmm_path,pac_workers,pac_timeout_budget_s,pac_timeout_detail,tapbs_timeout_override,ph7_only,protocol,salt_bridge_cutoff,topology_files,parameter_files,n_atoms_retained,n_titratable_calc,karlsberg_dir_exists,pac_runs_converged,pac_total_iterations,pac_max_final_hamming,uniprot_id
1ars,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1ars_results.txt,8471511,14,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,49352,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,3069,110,False,,,,
1axt,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1axt_results.txt,8471511,15,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,50291,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,3350,110,False,,,,
1azp,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1azp_results.txt,8471511,16,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33718,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,855,34,False,,,,
1b10,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1b10_results.txt,8471511,17,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,34987,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,870,0,False,,,,
1b2v,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1b2v_results.txt,8471511,18,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,35855,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1261,30,False,,,,
1b2x,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1b2x_results.txt,8471511,19,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,47351,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2604,108,False,,,,
1bcx,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1bcx_results.txt,8471511,20,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,37307,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1445,40,False,,,,
1bed,pkad_benchmark_20260619,20260619,crystal,PKAD-R,results/pkad_benchmark_20260619/1bed_results.txt,8471511,21,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38596,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1385,53,False,,,,
1beg,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1beg_results.txt,8471511,22,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32780,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,715,0,False,,,,
1beo,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1beo_results.txt,8471511,23,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32854,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,717,16,False,,,,
1bf4,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1bf4_results.txt,8471511,24,2026-06-19 11:43:45,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33201,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,804,29,False,,,,
1bg8,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1bg8_results.txt,8471511,25,2026-06-19 11:43:45,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,40920,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1761,66,False,,,,
1bhc,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1bhc_results.txt,8471511,26,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,4480,0,False,,,,
1bi6,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1bi6_results.txt,8471511,27,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32136,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,403,22,False,,,,
1bnr,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1bnr_results.txt,8471511,31,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,35143,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,878,37,False,,,,
1bnz,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1bnz_results.txt,8471511,32,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33307,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,832,30,False,,,,
1bpi,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1bpi_results.txt,8471511,33,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32171,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,460,20,False,,,,
1bus,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1bus_results.txt,8471511,34,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32063,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,420,20,False,,,,
1bvc,pkad_benchmark_20260619,20260619,crystal,PKAD-R,results/pkad_benchmark_20260619/1bvc_results.txt,8471511,35,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38510,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1233,61,False,,,,
1bvi,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1bvi_results.txt,8471511,36,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,50706,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,3108,0,False,,,,
1c8c,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1c8c_results.txt,8471511,37,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33131,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,830,28,False,,,,
1ca5,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1ca5_results.txt,8471511,38,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33612,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,847,33,False,,,,
1cdc,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1cdc_results.txt,8471511,39,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,39405,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1518,58,False,,,,
1cvo,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1cvo_results.txt,8471511,40,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32278,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,486,0,False,,,,
1cx6,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1cx6_results.txt,8471511,41,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,37557,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1193,51,False,,,,
1d0d,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1d0d_results.txt,8471511,42,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,36024,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,943,46,False,,,,
1de3,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1de3_results.txt,8471511,43,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38120,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1200,59,False,,,,
1dg9,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1dg9_results.txt,8471511,44,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38392,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1256,59,False,,,,
1div,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1div_results.txt,8471511,45,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,37443,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1148,50,False,,,,
1dui,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1dui_results.txt,8471511,47,2026-06-19 11:43:45,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,39500,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1873,45,False,,,,
1duk,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1duk_results.txt,8471511,48,2026-06-19 11:43:45,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38423,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1212,60,False,,,,
1dwr,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1dwr_results.txt,8471511,49,2026-06-19 11:43:45,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38007,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1201,56,False,,,,
1eej,pkad_benchmark_20260619,20260619,crystal,PKAD-R,results/pkad_benchmark_20260619/1eej_results.txt,8471511,50,2026-06-19 11:44:15,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,51740,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,3280,128,False,,,,
1egf,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1egf_results.txt,8471511,51,2026-06-19 11:44:15,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32000,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,420,20,False,,,,
1ego,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD-R",results/pkad_benchmark_20260619/1ego_results.txt,8471511,52,2026-06-19 11:44:15,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33862,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,681,30,False,,,,
1eh6,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1eh6_results.txt,8471511,53,2026-06-19 11:44:46,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,37307,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1272,44,False,,,,
1epg,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1epg_results.txt,8471511,54,2026-06-19 11:44:46,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,31833,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,420,18,False,,,,
1eph,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1eph_results.txt,8471511,55,2026-06-19 11:45:17,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,31833,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,420,18,False,,,,
1epi,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1epi_results.txt,8471511,56,2026-06-19 11:51:01,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,31833,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,420,18,False,,,,
1era,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1era_results.txt,8471511,57,2026-06-19 11:51:32,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,31987,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,475,17,False,,,,
1ert,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1ert_results.txt,8471511,58,2026-06-19 11:53:37,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,35064,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,830,38,False,,,,
1eru,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1eru_results.txt,8471511,59,2026-06-19 11:53:37,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,34897,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,821,36,False,,,,
1ex3,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1ex3_results.txt,8471511,60,2026-06-19 11:53:37,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38839,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1799,40,False,,,,
1ey0,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1ey0_results.txt,8471511,61,2026-06-19 11:55:10,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,37573,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1122,55,False,,,,
1ey7,pkad_benchmark_20260619,20260619,crystal,PKAD-R,results/pkad_benchmark_20260619/1ey7_results.txt,8471511,62,2026-06-19 11:55:10,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,37449,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1097,54,False,,,,
1fks,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1fks_results.txt,8471511,64,2026-06-19 11:57:46,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,34948,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,832,36,False,,,,
1fmh,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1fmh_results.txt,8471511,65,2026-06-19 11:58:18,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,492,0,False,,,,
1fna,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1fna_results.txt,8471511,66,2026-06-19 11:58:17,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33322,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,675,23,False,,,,
1fov,pkad_benchmark_20260619,20260619,crystal,"PKAD3,PKAD-R",results/pkad_benchmark_20260619/1fov_results.txt,8471511,67,2026-06-19 11:58:49,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33728,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,637,30,False,,,,
1fvj,pkad_benchmark_20260619,20260619,crystal,PKAD-R,results/pkad_benchmark_20260619/1fvj_results.txt,8471511,68,2026-06-19 11:59:20,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,48939,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2904,110,False,,,,
1fw7,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1fw7_results.txt,8471511,69,2026-06-19 12:01:28,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,35069,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,877,36,False,,,,
